UUID,ComputerName,PasswordNotRequired,Groups,OhYou
129a378a-d107-4b33-adac-e224c2c5613e,soc01,,Linux Servers,"OU=Servers,DC=defense,DC=local"
bd20c4b7-c99b-472c-b9a4-a809c388e83e,sql01,,Windows Servers|Database Servers,"OU=Servers,DC=defense,DC=local"
2a814846-dd3e-46bd-b318-d0ce219c0c4e,dev01,,Windows Servers|Development Servers|Web Servers,"OU=Servers,DC=defense,DC=local"
8f0fbfb2-3f4a-4260-a9ce-d55ab72a9866,web01,,Linux Servers|Web Servers,"OU=Servers,DC=defense,DC=local"
9a7bffdd-f9e2-43a6-8bc6-824751bc99d0,db02,,Linux Servers|Database Servers,"OU=Servers,DC=defense,DC=local"
1ca9b728-1f6c-4ee4-a9b3-3cbd804fd74a,analyst,,Windows Servers|Workstations|IT Security,"OU=Servers,DC=defense,DC=local"
bbf48bea-0d95-4044-9c78-fa01cea40fb5,pwstate,,Windows Servers,"OU=Servers,DC=defense,DC=local"
fdd1e752-7dec-43d6-af3c-4764d9045791,inv01,,Windows Servers,"OU=Servers,DC=defense,DC=local"
c511a466-b7e3-4665-b7b2-cce098671e5c,mssp01,,Linux Servers|PSS,"OU=Servers,DC=defense,DC=local"
7f062fc8-24b6-45d0-b669-1b978e066d05,jira,,Linux Servers|PSS,"OU=Servers,DC=defense,DC=local"
68986747-4269-4700-a7cc-90f1cc029500,inv02,,Windows Servers,"OU=Servers,DC=defense,DC=local"
e5aff0be-42a9-4dc7-bdd5-92cdea93cfba,wsus,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
33ad9d7e-aebc-475e-ade5-1ad3bc77ed10,fs01,,Windows Servers,"OU=Servers,DC=defense,DC=local"
bd10c1a0-7b6c-480d-80c3-9aeaa9ceaa9f,hqfs02,,Windows Servers,"OU=Servers,DC=defense,DC=local"
442db592-91a2-4080-8860-ddf8a821f306,atl01,,Windows Servers,"OU=Servers,DC=defense,DC=local"
2651c54c-c3fe-4438-ba97-b2439c483182,seattle,,Windows Servers,"OU=Servers,DC=defense,DC=local"
127bdbe7-dd9e-48d8-b74d-3b59e697b533,chifs,,Windows Servers,"OU=Servers,DC=defense,DC=local"
e723df19-4a63-47f8-a931-fe650cdb49a2,crm01,,Windows Servers,"OU=Servers,DC=defense,DC=local"
08b952a8-9622-404f-a8e5-a37e6d2ff013,orasql,,Linux Servers,"OU=Servers,DC=defense,DC=local"
68d7034d-f496-4bd4-92e7-c4fa1c82c499,devin,,Linux Servers,"OU=Servers,DC=defense,DC=local"
1e89409e-257a-41e8-ac10-5de20553e561,dev02,,Windows Servers,"OU=Servers,DC=defense,DC=local"
58fd25cf-3b87-4fd0-916a-fcf3e1a1e395,git,,Linux Servers,"OU=Servers,DC=defense,DC=local"
c50d7d6d-ef71-455f-a2e1-8a9be4537871,spl02,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
3f491487-16ba-4a38-a614-676db15de0d0,spl03,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
e92a288a-1c8f-446d-ba71-c5a87e191c4e,spl04,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
22c70d97-eeaa-406a-bd51-36d110e85d9e,splfwd,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
a17c3972-bca8-44d4-a876-93acd7b62d8e,splsearch,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
6b864c67-4969-4c4e-b4db-2c1b76f1b1d0,sep,,Windows Servers|IT Security,"OU=Servers,DC=defense,DC=local"
5c8e0dd4-dfcf-4d80-95d3-a263e6446a4e,finance,,Windows Servers,"OU=Servers,DC=defense,DC=local"
